date,id,source,label,price,currency
2026-07-06,f1,google_flights,BR116+BR115,19800,TWD
2026-07-06,h1,rakuten,運河側ツイン 朝食付き,15400,JPY
2026-07-06,h1,google:Booking.com,運河景觀雙床房,16000,JPY
2026-07-06,h1,rakuten,運河側ツイン 朝食付き,15400,JPY
